page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url
1000_home,3,36,39,0.07692307692307693,1000,sjr_25534,1000,IEEE Transactions on Image Processing,journal,10577149,"2,359",Q1,311,557,1861,32539,21579,1861,"10,50","58,42",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1992-2022,Computer Graphics and Computer-Aided Design (Q1); Software (Q1),Computer Science,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=83
1001_home,3,36,39,0.07692307692307693,1001,sjr_17362,1001,IEEE Transactions on Knowledge and Data Engineering,journal,10414347,"2,358",Q1,190,827,648,22496,5269,646,"7,05","27,20",United States,Northern America,IEEE Computer Society,1989-2022,Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1),Computer Science,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69
1002_home,39,839,878,0.04441913439635535,1002,sjr_16764,1002,Journal of Neuroscience,journal,"02706474, 15292401","2,350",Q1,488,707,2323,47444,12615,2270,"4,96","67,11",United States,Northern America,Society for Neuroscience,1981-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.jneurosci.org/
1003_home,45,666,711,0.06329113924050633,1003,sjr_21100228531,1003,JAMA Ophthalmology,journal,"21686173, 21686165","2,349",Q1,211,339,1091,4753,3281,483,"3,23","14,02",United States,Northern America,American Medical Association,2013-2022,Ophthalmology (Q1),Medicine,https://jamanetwork.com/journals/jamaophthalmology
1005_home,4,117,121,0.03305785123966942,1005,sjr_15648,1005,Engineering Geology,journal,00137952,"2,342",Q1,164,339,1141,18904,8934,1131,"7,42","55,76",Netherlands,Western Europe,Elsevier,1965-2022,Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1),Earth and Planetary Sciences,https://www.journals.elsevier.com/engineering-geology
1006_home,6,92,98,0.061224489795918366,1006,sjr_21100862881,1006,Quantum Science and Technology,journal,20589565,"2,341",Q1,43,140,307,8536,2135,306,"6,93","60,97",United States,Northern America,Institute of Physics Publishing,2016-2022,"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)",Engineering; Materials Science; Physics and Astronomy,https://iopscience.iop.org/journal/2058-9565
1007_home,2,85,87,0.022988505747126436,1007,sjr_11600154504,1007,Current Protocols in Immunology,journal,"19343671, 1934368X","2,340",Q1,52,0,47,0,214,47,"3,63","0,00",United States,Northern America,John Wiley &amp; Sons Inc.,2001-2020,Immunology (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine,https://currentprotocols.onlinelibrary.wiley.com/journal/1934368x
1008_home,2,85,87,0.022988505747126436,1008,sjr_24718,1008,Human Resource Management,journal,"00904848, 1099050X","2,338",Q1,108,62,120,6017,963,119,"6,96","97,05",United States,Northern America,Wiley-Liss Inc.,1961-2022,Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Psychology",https://onlinelibrary.wiley.com/journal/1099050x
1009_home,4,117,121,0.03305785123966942,1009,sjr_21100943531,1009,Materials Today Nano,journal,25888420,"2,338",Q1,34,128,113,9713,1209,113,"10,57","75,88",United Kingdom,Western Europe,Elsevier Ltd.,2018-2022,"Biomaterials (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1)",Materials Science; Physics and Astronomy,https://www.journals.elsevier.com/materials-today-nano
100_home,4,117,121,0.03305785123966942,100,sjr_17899,100,Progress in Materials Science,journal,"18732208, 00796425","8,515",Q1,210,83,174,27307,8117,173,"43,41","329,00",United Kingdom,Western Europe,Elsevier Ltd.,"1961, 1963, 1968-1970, 1972-1974, 1976, 1978-1986, 1988-2023",Materials Science (miscellaneous) (Q1),Materials Science,https://www.journals.elsevier.com/progress-in-materials-science
1010_home,2,76,78,0.02564102564102564,1010,sjr_13354,1010,Journal of Teacher Education,journal,"00224871, 15527816","2,337",Q1,105,49,131,3020,818,117,"5,53","61,63",United States,Northern America,SAGE Publications Inc.,1950-2022,Education (Q1),Social Sciences,https://journals.sagepub.com/home/jte
1011_home,10,657,667,0.014992503748125937,1011,sjr_21100823143,1011,Virus Evolution,journal,20571577,"2,337",Q1,37,79,258,4608,1503,258,"6,41","58,33",United States,Northern America,Oxford University Press,2015-2022,Microbiology (Q1); Virology (Q1),Immunology and Microbiology,https://academic.oup.com/ve
1012_home,2,85,87,0.022988505747126436,1012,sjr_13358,1012,Sociology of Education,journal,"00380407, 19398573","2,335",Q1,107,19,55,1316,295,54,"4,08","69,26",United States,Northern America,SAGE Publications Inc.,"1980, 1983, 1992, 1996-2022",Education (Q1); Sociology and Political Science (Q1),Social Sciences,https://journals.sagepub.com/home/soe
1013_home,4,117,121,0.03305785123966942,1013,sjr_19696,1013,International Journal of Project Management,journal,02637863,"2,333",Q1,167,85,185,6688,1822,177,"8,32","78,68",United Kingdom,Western Europe,Elsevier BV,1983-2022,"Business and International Management (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)","Business, Management and Accounting; Environmental Science",https://www.journals.elsevier.com/international-journal-of-project-management
1014_home,62,383,445,0.1393258426966292,1014,sjr_21100202730,1014,Advances in Nutrition,journal,"21565376, 21618313","2,331",Q1,120,169,469,15866,4697,413,"7,94","93,88",United States,Northern America,American Society for Nutrition,2010-2022,Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1),Agricultural and Biological Sciences; Medicine; Nursing,https://nutrition.org/publications/advances-in-nutrition/
1015_home,10,1158,1168,0.008561643835616438,1015,sjr_28979,1015,Journal of Economic History,journal,"14716372, 00220507","2,331",Q1,66,32,97,2134,188,93,"1,59","66,69",United Kingdom,Western Europe,Cambridge University Press,1941-2022,"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1)","Arts and Humanities; Economics, Econometrics and Finance",https://www.cambridge.org/core/journals/journal-of-economic-history
1016_home,2,76,78,0.02564102564102564,1016,sjr_26261,1016,Review of International Political Economy,journal,"09692290, 14664526","2,331",Q1,82,142,196,12369,1165,190,"5,40","87,11",United Kingdom,Western Europe,Routledge,1994-2022,Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),"Economics, Econometrics and Finance; Social Sciences",https://www.tandfonline.com/toc/rrip20/current
1017_home,7,464,471,0.014861995753715499,1017,sjr_17148,1017,Tobacco Control,journal,"09644563, 14683318","2,331",Q1,136,289,623,11033,2929,513,"4,13","38,18",United Kingdom,Western Europe,BMJ Publishing Group,1996-2022,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine; Social Sciences,http://tobaccocontrol.bmj.com/content/by/year
