Title,"If filter ""v"", otherwise empty",Checked,Areas,Clean Up Areas (filter out unused Categories),URL
2D Materials,v,TRUE,Chemistry; Engineering; Materials Science; Physics and Astronomy,,https://iopscience.iop.org/journal/2053-1583
AAPG Bulletin,v,TRUE,Earth and Planetary Sciences; Energy,,https://www.aapg.org/publications/journals/bulletin
Academic Medicine,,TRUE,Medicine; Social Sciences,,https://journals.lww.com/academicmedicine/pages/default.aspx
Academic Pediatrics,,TRUE,Medicine,,https://www.journals.elsevier.com/academic-pediatrics
Academic Radiology,,TRUE,Medicine,,https://www.journals.elsevier.com/academic-radiology
Academy of Management Journal,v,TRUE,"Business, Management and Accounting",,https://aom.org/research/journals/journal
Academy of Management Perspectives,v,TRUE,"Business, Management and Accounting",,http://aom.org/amp/
Accident Analysis and Prevention,,TRUE,Engineering; Medicine; Social Sciences,,https://www.journals.elsevier.com/accident-analysis-and-prevention
Accounting Horizons,v,TRUE,"Business, Management and Accounting",,http://aaajournals.org/loi/acch
Accounting Review,v,TRUE,"Business, Management and Accounting; Economics, Econometrics and Finance",,http://aaahq.org/pubs/acctrev.htm
"Accounting, Auditing and Accountability Journal",v,TRUE,"Business, Management and Accounting; Economics, Econometrics and Finance",,https://www.emeraldgrouppublishing.com/aaaj.htm
"Accounting, Organizations and Society",,TRUE,"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences",,https://www.journals.elsevier.com/accounting-organizations-and-society
ACM Computing Surveys,v,TRUE,Computer Science; Mathematics,,https://dl.acm.org/journal/csur
ACM Transactions on Algorithms,v,TRUE,Mathematics,,http://talg.acm.org/
ACM Transactions on Cyber-Physical Systems,v,TRUE,Computer Science; Mathematics,,https://dl.acm.org/journal/tcps
ACM Transactions on Database Systems,v,TRUE,Computer Science,,https://dl.acm.org/journal/tods
ACM Transactions on Graphics,v,TRUE,Computer Science,,https://dl.acm.org/journal/tog
ACM Transactions on Information Systems,v,TRUE,"Business, Management and Accounting; Computer Science",,https://dl.acm.org/journal/tois
ACM Transactions on Intelligent Systems and Technology,v,TRUE,Computer Science; Mathematics,,https://tist.acm.org/
ACM Transactions on Internet of Things,v,TRUE,Computer Science,,https://dl.acm.org/journal/tiot
ACM Transactions on Internet Technology,v,TRUE,Computer Science,,https://dl.acm.org/journal/toit
ACM Transactions on Knowledge Discovery from Data,v,TRUE,Computer Science,,https://tkdd.acm.org/
ACM Transactions on Mathematical Software,v,TRUE,Computer Science; Mathematics,,https://dl.acm.org/journal/toms
"ACM Transactions on Multimedia Computing, Communications and Applications",v,TRUE,Computer Science,,https://dl.acm.org/journal/tomm
ACM Transactions on Sensor Networks,v,TRUE,Computer Science,,http://tosn.acm.org/
ACM Transactions on Software Engineering and Methodology,v,TRUE,Computer Science,,https://dl.acm.org/journal/tosem
ACM Transactions on the Web,v,TRUE,Computer Science,,https://dl.acm.org/journal/tweb
Acta Astronautica,v,TRUE,Engineering,,https://www.journals.elsevier.com/acta-astronautica
Acta Biomaterialia,,TRUE,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science; Medicine",,https://www.sciencedirect.com/journal/acta-biomaterialia
Acta Crystallographica Section A: Foundations and Advances,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy",,http://journals.iucr.org/a/
Acta Crystallographica Section D: Structural Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://journals.iucr.org/d/
Acta Diabetologica,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.springer.com/journal/592
Acta Geotechnica,v,TRUE,Earth and Planetary Sciences,,https://www.springer.com/journal/11440
Acta Materialia,v,TRUE,Materials Science,,https://www.journals.elsevier.com/acta-materialia
Acta Mathematica,v,TRUE,Mathematics,,https://www.intlpress.com/site/pub/pages/journals/items/acta/_home/_main/index.php
Acta Neuropathologica,,TRUE,Medicine; Neuroscience,,https://www.springer.com/journal/401
Acta neuropathologica communications,,TRUE,Medicine; Neuroscience,,https://actaneurocomms.biomedcentral.com/
Acta Pharmaceutica Sinica B,,TRUE,"Pharmacology, Toxicology and Pharmaceutics",,https://www.journals.elsevier.com/acta-pharmaceutica-sinica-b/
Acta Pharmacologica Sinica,,TRUE,"Medicine; Pharmacology, Toxicology and Pharmaceutics",,https://www.nature.com/aps/
Ad Hoc Networks,v,TRUE,Computer Science,,https://www.sciencedirect.com/journal/ad-hoc-networks
Addiction science &amp; clinical practice,,TRUE,Medicine; Psychology,,https://ascpjournal.biomedcentral.com/
Addictive Behaviors,,TRUE,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Psychology",,https://www.journals.elsevier.com/addictive-behaviors
Addictive Behaviors Reports,,TRUE,Medicine; Psychology,,https://www.journals.elsevier.com/addictive-behaviors-reports
