id,page_type,page_id,url
1,home,1_home,https://david.ncifcrf.gov
2,home,2_home,https://www.kegg.jp
3,home,3_home,http://cbioportal.org
4,home,4_home,https://string-db.org/
5,home,5_home,https://www.encodeproject.org/
6,home,6_home,https://www.uniprot.org
7,home,7_home,https://www.internationalgenome.org
8,home,8_home,http://pfam.xfam.org/
9,home,9_home,http://www.arb-silva.de
10,home,10_home,https://gnomad.broadinstitute.org/
11,home,11_home,http://www.mirbase.org
12,home,12_home,https://genome.ucsc.edu
13,home,13_home,http://www.ncbi.nlm.nih.gov/geo/
14,home,14_home,https://www.gtexportal.org
15,home,15_home,https://www.ensembl.org
16,home,16_home,https://portal.gdc.cancer.gov
17,home,17_home,https://alphafold.ebi.ac.uk/
18,home,18_home,https://www.ebi.ac.uk/gwas/
19,home,19_home,http://www.guidetopharmacology.org/
20,home,20_home,https://www.gencodegenes.org
21,home,21_home,https://www.ebi.ac.uk/pride/
22,home,22_home,http://geneontology.org/
23,home,23_home,http://www.ncbi.nlm.nih.gov/clinvar/
24,home,24_home,http://ualcan.path.uab.edu
25,home,25_home,https://portal.brain-map.org/
26,home,26_home,http://www.cazy.org
27,home,27_home,https://www.ebi.ac.uk/interpro/
28,home,28_home,https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml
29,home,29_home,http://www.drugbank.ca
30,home,30_home,http://cancer.sanger.ac.uk
31,home,31_home,https://gtdb.ecogenomic.org/
32,home,32_home,http://www.pantherdb.org/
33,home,33_home,http://www.ncbi.nlm.nih.gov/COG/
34,home,34_home,https://www.ncbi.nlm.nih.gov/refseq/
35,home,35_home,https://www.ncbi.nlm.nih.gov
36,home,36_home,http://swissmodel.expasy.org/repository/
37,home,37_home,https://www.ezbiocloud.net/
38,home,38_home,http://fantom.gsc.riken.jp/
39,home,39_home,https://www.gisaid.org
40,home,40_home,http://greengenes.lbl.gov
41,home,41_home,http://www.hmdb.ca
42,home,42_home,http://rdp.cme.msu.edu
43,home,43_home,https://pubchem.ncbi.nlm.nih.gov/
44,home,44_home,https://card.mcmaster.ca
45,home,45_home,https://thebiogrid.org
46,home,46_home,https://reactome.org
47,home,47_home,http://web.stanford.edu/group/barres_lab/brain_rnaseq
48,home,48_home,https://mirtarbase.cuhk.edu.cn/
49,home,49_home,https://www.ebi.ac.uk/chembl/
50,home,50_home,http://jaspar.genereg.net/
51,home,51_home,https://rnasysu.com/encori/
52,home,52_home,http://www.ncbi.nlm.nih.gov/genbank/
53,home,53_home,http://www.mrbase.org
54,home,54_home,http://www.gene-regulation.com
55,home,55_home,http://mirwalk.umm.uni-heidelberg.de/
56,home,56_home,http://rfam.org/
57,home,57_home,https://www.phosphosite.org
58,home,58_home,http://www.broadinstitute.org/gsea/msigdb/index.jsp
59,home,59_home,http://www.cellchat.org
60,home,60_home,http://smart.embl.de
61,home,61_home,http://www.wwpdb.org/
62,home,62_home,http://eggnog6.embl.de
63,home,63_home,http://www.ncbi.nlm.nih.gov/SNP/
64,home,64_home,http://phytozome.jgi.doe.gov/pz/portal.html
65,home,65_home,https://www.patricbrc.org/
66,home,66_home,http://pubmlst.org/
67,home,67_home,http://www.omim.org
68,home,68_home,https://www.mitranscriptome.org/#
69,home,69_home,http://www.broadinstitute.org/mammals/haploreg/haploreg_v3.php
70,home,70_home,http://ibdmdb.org
71,home,71_home,http://prosite.expasy.org/
72,home,72_home,http://www.ebi.ac.uk/merops
73,home,73_home,https://img.jgi.doe.gov/cgi-bin/w/main.cgi
74,home,74_home,http://mirdb.org/miRDB/
75,home,75_home,http://www.hprd.org/
76,home,76_home,http://www.expasy.org
77,home,77_home,http://www.linkedomics.org
78,home,78_home,http://www.human-phenotype-ontology.org/
79,home,79_home,http://scop.mrc-lmb.cam.ac.uk
80,home,80_home,https://old.tcmsp-e.com/tcmsp.php
81,home,81_home,http://www.disgenet.org/
82,home,82_home,http://rcsb.org/
83,home,83_home,http://www.ebi.ac.uk/ipd/imgt/hla/
84,home,84_home,http://www.regulomedb.org/
85,home,85_home, https://bcb.unl.edu/dbCAN2/
86,home,86_home,http://www.broadinstitute.org/pubs/MitoCarta
87,home,87_home,http://metacyc.org/
88,home,88_home,http://www.ncbi.nlm.nih.gov/sra
