page_id,id,page_type,url,success,error_alt_area_missing,error_alt_input_missing,error_alt_link_missing,error_alt_map_missing,error_alt_missing,error_alt_spacer_missing,error_aria_menu_broken,error_aria_reference_broken,error_blink,error_button_empty,error_heading_empty,error_label_empty,error_label_missing,error_label_multiple,error_language_missing,error_link_empty,error_link_skip_broken,error_marquee,error_meta_refresh,error_th_empty,error_title_invalid
1_home,1,home,https://david.ncifcrf.gov,1,0,0,19,0,19,19,0,0,0,3,4,0,1,0,-1,75,75,-1,-1,0,-1
2_home,2,home,https://www.kegg.jp,1,0,0,5,0,5,5,0,0,0,2,1,0,3,0,-1,90,90,-1,-1,0,-1
3_home,3,home,https://www.cbioportal.org/,1,0,0,99,0,99,99,1,0,0,5,46,0,566,585,-1,1759,1759,-1,-1,0,-1
4_home,4,home,https://string-db.org/,1,0,0,46,0,46,46,0,0,0,20,11,26,47,26,-1,101,101,-1,-1,0,-1
5_home,5,home,https://www.encodeproject.org/,1,0,0,4,0,4,4,0,0,0,35,0,0,2,2,-1,86,86,-1,-1,0,-1
6_home,6,home,https://www.uniprot.org,1,0,0,25,0,25,25,0,0,0,13,41,0,1,0,-1,109,109,-1,-1,0,-1
7_home,7,home,https://www.internationalgenome.org,1,0,0,0,0,0,0,0,0,0,2,10,0,1,0,-1,22,22,-1,-1,0,-1
8_home,8,home,http://pfam.xfam.org/,1,0,0,2,0,2,2,0,0,0,14,10,0,7,0,-1,22,22,-1,-1,0,-1
9_home,9,home,http://www.arb-silva.de,1,0,0,24,0,24,24,0,0,0,0,18,0,0,0,-1,72,72,-1,-1,6,-1
10_home,10,home,https://gnomad.broadinstitute.org/,1,0,0,0,0,0,0,0,0,0,1,4,0,4,0,-1,37,37,-1,-1,0,-1
11_home,11,home,http://www.mirbase.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1
12_home,12,home,https://genome.ucsc.edu,1,0,0,6,0,6,6,0,0,0,2,5,0,0,0,-1,111,111,-1,-1,0,-1
13_home,13,home,http://www.ncbi.nlm.nih.gov/geo/,1,0,0,4,0,4,4,18,0,0,1,5,0,1,1,-1,244,244,-1,-1,0,-1
14_home,14,home,https://www.gtexportal.org,1,0,0,10,0,10,10,0,0,0,3,12,0,4,0,-1,87,87,-1,-1,0,-1
15_home,15,home,https://www.ensembl.org,-1,,,,,,,,,,,,,,,,,,,,,
16_home,16,home,https://portal.gdc.cancer.gov,1,0,0,4,0,4,4,0,0,0,2,2,0,1,0,-1,36,36,-1,-1,0,-1
17_home,17,home,https://alphafold.ebi.ac.uk/,1,0,0,4,0,4,4,0,0,0,4,19,1,2,2,-1,94,94,-1,-1,0,-1
18_home,18,home,https://www.ebi.ac.uk/gwas/,1,0,0,7,0,7,7,0,0,0,4,9,0,2,0,-1,36,36,-1,-1,0,-1
19_home,19,home,http://www.guidetopharmacology.org/,1,0,0,27,0,27,27,0,0,0,3,17,0,2,0,-1,135,135,-1,-1,0,-1
20_home,20,home,https://www.gencodegenes.org,1,0,0,12,0,12,12,0,0,0,0,2,0,0,0,-1,46,46,-1,-1,0,-1
21_home,21,home,https://www.ebi.ac.uk/pride/,1,0,0,1,0,1,1,0,0,0,12,8,0,2,0,-1,81,81,-1,-1,0,-1
22_home,22,home,http://geneontology.org/,1,0,0,3,0,3,3,0,0,0,4,6,0,7,0,-1,54,54,-1,-1,0,-1
23_home,23,home,http://www.ncbi.nlm.nih.gov/clinvar/,1,0,0,8,0,8,8,6,0,0,6,9,2,2,2,-1,98,98,-1,-1,0,-1
24_home,24,home,http://ualcan.path.uab.edu,1,0,0,12,0,12,12,0,0,0,1,4,0,0,0,-1,28,28,-1,-1,0,-1
25_home,25,home,https://portal.brain-map.org/,1,0,0,31,0,31,31,0,0,0,16,42,0,7,7,-1,82,82,-1,-1,0,-1
26_home,26,home,http://www.cazy.org,1,0,0,7,0,7,7,0,0,0,4,7,0,2,0,-1,98,98,-1,-1,0,-1
27_home,27,home,https://www.ebi.ac.uk/interpro/,1,0,0,17,0,17,17,0,0,0,17,17,27,28,28,-1,174,174,-1,-1,0,-1
28_home,28,home,https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml,1,0,0,11,0,11,11,3,0,0,1,7,2,2,2,-1,216,216,-1,-1,0,-1
29_home,29,home,http://www.drugbank.ca,1,0,0,9,0,9,9,0,0,0,5,70,4,6,4,-1,139,139,-1,-1,0,-1
30_home,30,home,http://cancer.sanger.ac.uk,1,0,0,11,0,11,11,0,0,0,10,18,0,9,2,-1,95,95,-1,-1,0,-1
31_home,31,home,https://gtdb.ecogenomic.org/,1,0,0,0,0,0,0,0,0,0,9,0,0,4,2,-1,49,49,-1,-1,0,-1
32_home,32,home,http://www.pantherdb.org/,1,0,0,20,0,20,20,0,0,0,0,0,0,20,0,-1,42,42,-1,-1,0,-1
33_home,33,home,http://www.ncbi.nlm.nih.gov/COG/,1,0,0,6,0,6,6,0,0,0,0,0,0,0,0,-1,34,34,-1,-1,0,-1
34_home,34,home,https://www.ncbi.nlm.nih.gov/refseq/,1,0,0,8,0,8,8,0,0,0,6,11,2,2,2,-1,72,72,-1,-1,0,-1
