page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url,is_filter
1000_home,3,36,39,0.07692307692307693,1000,sjr_25534,1000,IEEE Transactions on Image Processing,journal,10577149,"2,359",Q1,311,557,1861,32539,21579,1861,"10,50","58,42",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1992-2022,Computer Graphics and Computer-Aided Design (Q1); Software (Q1),Computer Science,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=83,False
1001_home,3,36,39,0.07692307692307693,1001,sjr_17362,1001,IEEE Transactions on Knowledge and Data Engineering,journal,10414347,"2,358",Q1,190,827,648,22496,5269,646,"7,05","27,20",United States,Northern America,IEEE Computer Society,1989-2022,Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1),Computer Science,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69,False
1002_home,39,839,878,0.04441913439635535,1002,sjr_16764,1002,Journal of Neuroscience,journal,"02706474, 15292401","2,350",Q1,488,707,2323,47444,12615,2270,"4,96","67,11",United States,Northern America,Society for Neuroscience,1981-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.jneurosci.org/,False
1003_home,45,666,711,0.06329113924050633,1003,sjr_21100228531,1003,JAMA Ophthalmology,journal,"21686173, 21686165","2,349",Q1,211,339,1091,4753,3281,483,"3,23","14,02",United States,Northern America,American Medical Association,2013-2022,Ophthalmology (Q1),Medicine,https://jamanetwork.com/journals/jamaophthalmology,False
1007_home,2,85,87,0.022988505747126436,1007,sjr_11600154504,1007,Current Protocols in Immunology,journal,"19343671, 1934368X","2,340",Q1,52,0,47,0,214,47,"3,63","0,00",United States,Northern America,John Wiley and Sons,2001-2020,Immunology (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine,https://currentprotocols.onlinelibrary.wiley.com/journal/1934368x,False
1008_home,2,85,87,0.022988505747126436,1008,sjr_24718,1008,Human Resource Management,journal,"00904848, 1099050X","2,338",Q1,108,62,120,6017,963,119,"6,96","97,05",United States,Northern America,Wiley-Liss Inc.,1961-2022,Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Psychology",https://onlinelibrary.wiley.com/journal/1099050x,False
1010_home,2,76,78,0.02564102564102564,1010,sjr_13354,1010,Journal of Teacher Education,journal,"00224871, 15527816","2,337",Q1,105,49,131,3020,818,117,"5,53","61,63",United States,Northern America,SAGE Publications,1950-2022,Education (Q1),Social Sciences,https://journals.sagepub.com/home/jte,False
1011_home,10,657,667,0.014992503748125937,1011,sjr_21100823143,1011,Virus Evolution,journal,20571577,"2,337",Q1,37,79,258,4608,1503,258,"6,41","58,33",United States,Northern America,Oxford University Press,2015-2022,Microbiology (Q1); Virology (Q1),Immunology and Microbiology,https://academic.oup.com/ve,False
1012_home,2,85,87,0.022988505747126436,1012,sjr_13358,1012,Sociology of Education,journal,"00380407, 19398573","2,335",Q1,107,19,55,1316,295,54,"4,08","69,26",United States,Northern America,SAGE Publications,"1980, 1983, 1992, 1996-2022",Education (Q1); Sociology and Political Science (Q1),Social Sciences,https://journals.sagepub.com/home/soe,False
1014_home,62,383,445,0.1393258426966292,1014,sjr_21100202730,1014,Advances in Nutrition,journal,"21565376, 21618313","2,331",Q1,120,169,469,15866,4697,413,"7,94","93,88",United States,Northern America,American Society for Nutrition,2010-2022,Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1),Agricultural and Biological Sciences; Medicine; Nursing,https://nutrition.org/publications/advances-in-nutrition/,False
1016_home,2,76,78,0.02564102564102564,1016,sjr_26261,1016,Review of International Political Economy,journal,"09692290, 14664526","2,331",Q1,82,142,196,12369,1165,190,"5,40","87,11",United Kingdom,Western Europe,Routledge,1994-2022,Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),"Economics, Econometrics and Finance; Social Sciences",https://www.tandfonline.com/toc/rrip20/current,False
1017_home,7,464,471,0.014861995753715499,1017,sjr_17148,1017,Tobacco Control,journal,"09644563, 14683318","2,331",Q1,136,289,623,11033,2929,513,"4,13","38,18",United Kingdom,Western Europe,BMJ Publishing Group,1996-2022,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine; Social Sciences,http://tobaccocontrol.bmj.com/content/by/year,False
1018_home,2,85,87,0.022988505747126436,1018,sjr_21100228068,1018,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,journal,"19424795, 19424787","2,330",Q1,62,45,132,5005,1698,130,"10,30","111,22",United States,Northern America,John Wiley and Sons,2011-2022,Computer Science (miscellaneous) (Q1),Computer Science,https://onlinelibrary.wiley.com/journal/19424795,False
101_home,2,76,78,0.02564102564102564,101,sjr_23157,101,Strategic Management Journal,journal,"10970266, 01432095","8,497",Q1,318,122,278,9819,2915,275,"8,78","80,48",United Kingdom,Western Europe,John Wiley and Sons,1980-2022,Business and International Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting",https://onlinelibrary.wiley.com/journal/10970266,False
1020_home,7,804,811,0.008631319358816275,1020,sjr_13096,1020,BMC Biology,journal,17417007,"2,324",Q1,121,286,556,22160,3495,548,"5,04","77,48",United Kingdom,Western Europe,BioMed Central Ltd.,2003-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",https://bmcbiol.biomedcentral.com/,False
1021_home,9,1133,1142,0.00788091068301226,1021,sjr_19900192160,1021,Epidemiology and Psychiatric Sciences,journal,"20457979, 20457960","2,324",Q1,62,88,325,3958,2058,297,"6,78","44,98",United Kingdom,Western Europe,Cambridge University Press,2011-2022,"Epidemiology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences,False
1022_home,4,117,121,0.03305785123966942,1022,sjr_3900148209,1022,International Journal of Clinical and Health Psychology,journal,16972600,"2,324",Q1,51,38,89,1720,836,89,"11,37","45,26",Spain,Western Europe,Elsevier,2005-2023,Clinical Psychology (Q1),Psychology,https://www.journals.elsevier.com/international-journal-of-clinical-and-health-psychology,False
1023_home,2,85,87,0.022988505747126436,1023,sjr_18429,1023,Chest,journal,"00123692, 19313543","2,322",Q1,315,649,2356,14179,9408,1409,"3,86","21,85",United States,Northern America,American College of Chest Physicians,1970-2022,Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1),Medicine,http://chestjournal.chestpubs.org/,False
1026_home,2,85,87,0.022988505747126436,1026,sjr_3600148105,1026,Human Resource Management Journal,journal,09545395,"2,321",Q1,89,86,141,6101,1133,140,"7,16","70,94",United States,Northern America,Wiley-Blackwell,1990-2022,Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting",https://onlinelibrary.wiley.com/journal/17488583,False
1027_home,3,36,39,0.07692307692307693,1027,sjr_17337,1027,IEEE Transactions on Antennas and Propagation,journal,"15582221, 0018926X","2,317",Q1,221,1291,2727,44646,17783,2705,"6,19","34,58",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1963-2022,Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1),Engineering; Physics and Astronomy,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8,False
