page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url,page_type,is_filter
10003_home,4,199,203,0.019704433497536946,10003,sjr_21101092872,10003,Journal of Intensive Medicine,journal,"2667100X, 20970250","0,519",Q2,5,51,20,2979,72,18,"3,60","58,41",Netherlands,Western Europe,Elsevier,2021-2022,Critical Care and Intensive Care Medicine (Q2),Medicine,https://www.sciencedirect.com/journal/journal-of-intensive-medicine,home,False
10005_home,107,1087,1194,0.08961474036850921,10005,sjr_19085,10005,Sarcoidosis Vasculitis and Diffuse Lung Diseases,journal,11240490,"0,519",Q2,64,0,110,0,156,95,"1,32","0,00",Italy,Western Europe,Mattioli1885,1996-2021,Medicine (miscellaneous) (Q2); Immunology and Allergy (Q3); Internal Medicine (Q3); Pulmonary and Respiratory Medicine (Q3),Medicine,https://mattioli1885journals.com/index.php/sarcoidosis,home,False
10017_home,11,738,749,0.014686248331108143,10017,sjr_21100200416,10017,Journal of Mathematical Neuroscience,journal,21908567,"0,518",Q3,22,0,39,0,91,38,"2,42","0,00",Germany,Western Europe,Springer,2012-2021,Neuroscience (miscellaneous) (Q3),Neuroscience,https://mathematical-neuroscience.springeropen.com/,home,False
10020_home,153,1699,1852,0.0826133909287257,10020,sjr_21100369818,10020,Neurodegenerative Disease Management,journal,"17582024, 17582032","0,518",Q2,29,32,88,1239,218,84,"2,18","38,72",United Kingdom,Western Europe,Future Medicine Ltd.,2014-2022,Medicine (miscellaneous) (Q2); Neurology (clinical) (Q3),Medicine,https://www.futuremedicine.com/loi/nmt,home,False
10022_home,2,128,130,0.015384615384615385,10022,sjr_15704,10022,Pediatric and Developmental Pathology,journal,"10935266, 16155742","0,518",Q2,66,93,237,2121,429,222,"2,13","22,81",United States,Northern America,SAGE Publications,1998-2022,"Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2); Pediatrics, Perinatology and Child Health (Q2)",Medicine,https://journals.sagepub.com/home/pdp,home,False
1002_article_search_result,81,1315,1396,0.058022922636103154,1002,sjr_16764,1002,Journal of Neuroscience,journal,"02706474, 15292401","2,350",Q1,488,707,2323,47444,12615,2270,"4,96","67,11",United States,Northern America,Society for Neuroscience,1981-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.jneurosci.org/,article,False
1002_home,107,1648,1755,0.06096866096866097,1002,sjr_16764,1002,Journal of Neuroscience,journal,"02706474, 15292401","2,350",Q1,488,707,2323,47444,12615,2270,"4,96","67,11",United States,Northern America,Society for Neuroscience,1981-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.jneurosci.org/,home,False
1002_research_article,107,1441,1548,0.06912144702842377,1002,sjr_16764,1002,Journal of Neuroscience,journal,"02706474, 15292401","2,350",Q1,488,707,2323,47444,12615,2270,"4,96","67,11",United States,Northern America,Society for Neuroscience,1981-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.jneurosci.org/,research,False
10032_home,4,199,203,0.019704433497536946,10032,sjr_17667,10032,Primary Care - Clinics in Office Practice,journal,"1558299X, 00954543","0,517",Q2,53,61,184,2128,399,148,"1,64","34,89",United Kingdom,Western Europe,W.B. Saunders Ltd,1974-2022,Medicine (miscellaneous) (Q2); Pharmacology (medical) (Q2),Medicine,https://www.journals.elsevier.com/primary-care-clinics-in-office-practice/,home,False
10035_home,2,128,130,0.015384615384615385,10035,sjr_21101052233,10035,Annual Plant Reviews Online,journal,26393832,"0,516",Q1,15,12,79,2083,143,79,"1,34","173,58",United States,Northern America,John Wiley and Sons,2018-2022,Horticulture (Q1); Agronomy and Crop Science (Q2); Food Science (Q2); Plant Science (Q2),Agricultural and Biological Sciences,https://onlinelibrary.wiley.com/doi/book/10.1002/9781119312994,home,False
10036_home,94,910,1004,0.09362549800796813,10036,sjr_19208,10036,Baltic Journal of Coleopterology,journal,14078619,"0,516",Q2,16,30,95,670,64,95,"0,72","22,33",Latvia,Eastern Europe,Baltic Institute of Coleopterology,2003-2021,"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)",Agricultural and Biological Sciences,http://www.bjc.sggw.pl/,home,False
10037_home,54,971,1025,0.05268292682926829,10037,sjr_18421,10037,Canadian Respiratory Journal,journal,"11982241, 19167245","0,516",Q2,59,66,172,2464,363,166,"2,07","37,33",Egypt,Africa/Middle East,Hindawi Publishing,1996-2022,Medicine (miscellaneous) (Q2); Pulmonary and Respiratory Medicine (Q3),Medicine,https://www.hindawi.com/journals/crj/,home,False
1003_home,151,1186,1337,0.11293941660433807,1003,sjr_21100228531,1003,JAMA Ophthalmology,journal,"21686173, 21686165","2,349",Q1,211,339,1091,4753,3281,483,"3,23","14,02",United States,Northern America,American Medical Association,2013-2022,Ophthalmology (Q1),Medicine,https://jamanetwork.com/journals/jamaophthalmology,home,False
10045_home,2,116,118,0.01694915254237288,10045,sjr_17700156605,10045,Journal of studies on alcohol and drugs. Supplement,journal,"19465858, 1946584X","0,516",Q2,18,0,18,0,34,17,"0,00","0,00",United States,Northern America,"Alcohol Research Documentation, Inc.","2009, 2014, 2019-2020",Medicine (miscellaneous) (Q2),Medicine,https://www.jsad.com/loi/jsads,home,False
10057_home,4,199,203,0.019704433497536946,10057,sjr_16728,10057,Aquatic Botany,journal,03043770,"0,515",Q2,103,66,243,3744,479,242,"1,90","56,73",Netherlands,Western Europe,Elsevier,1975-2022,Aquatic Science (Q2); Plant Science (Q2),Agricultural and Biological Sciences,https://www.journals.elsevier.com/aquatic-botany,home,False
10058_home,4,199,203,0.019704433497536946,10058,sjr_21062,10058,Current Problems in Surgery,journal,"15356337, 00113840","0,515",Q2,47,36,105,2506,142,38,"1,59","69,61",United States,Northern America,Mosby Inc.,1964-2022,Medicine (miscellaneous) (Q2); Surgery (Q2),Medicine,https://www.journals.elsevier.com/current-problems-in-surgery,home,False
10069_home,12,996,1008,0.011904761904761904,10069,sjr_19400157207,10069,Journal of the Canadian Urological Association,journal,19116470,"0,515",Q2,45,119,577,2898,663,475,"1,04","24,35",Canada,Northern America,Canadian Medical Association,2007-2023,Urology (Q2); Oncology (Q3),Medicine,https://cuaj.ca/index.php/journal,home,False
10070_home,7,1124,1131,0.00618921308576481,10070,sjr_19197,10070,Surgical Infections,journal,"10962964, 15578674","0,515",Q2,65,148,415,3789,791,371,"1,93","25,60",United States,Northern America,Mary Ann Liebert Inc.,2000-2022,Surgery (Q2); Infectious Diseases (Q3); Microbiology (medical) (Q3),Medicine,https://www.liebertpub.com/loi/sur,home,False
10078_home,2,128,130,0.015384615384615385,10078,sjr_24995,10078,Hematology,journal,"10245332, 16078454","0,514",Q3,46,163,309,5467,609,298,"1,88","33,54",United Kingdom,Western Europe,Taylor and Francis Ltd.,1996-2022,Hematology (Q3),Medicine,https://www.tandfonline.com/loi/yhem20,home,False
10080_home,2,128,130,0.015384615384615385,10080,sjr_7100153108,10080,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,journal,"15569845, 15590879","0,514",Q2,30,96,298,1986,334,233,"0,96","20,69",United Kingdom,Western Europe,SAGE Publications,2005-2022,Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Surgery (Q2); Pulmonary and Respiratory Medicine (Q3),Medicine,https://journals.sagepub.com/home/inv,home,False
10083_home,3,1396,1399,0.002144388849177984,10083,sjr_15840,10083,Journal of Antibiotics,journal,"00218820, 18811469","0,514",Q2,87,93,360,2829,1115,341,"3,31","30,42",United Kingdom,Western Europe,Japan Antibiotics Research Association,1953-2022,Drug Discovery (Q2); Pharmacology (Q3),"Pharmacology, Toxicology and Pharmaceutics",https://www.nature.com/ja/,home,False
10092_home,90,1250,1340,0.06716417910447761,10092,sjr_20000195094,10092,Cell Journal,journal,"22285806, 22285814","0,513",Q3,36,103,248,3641,627,247,"2,02","35,35",Iran,Middle East,Royan Institute,2011-2022,Molecular Biology (Q3); Cell Biology (Q4),"Biochemistry, Genetics and Molecular Biology",https://celljournal.org/,home,False
10105_home,100,1322,1422,0.07032348804500703,10105,sjr_16209,10105,Acta Botanica Hungarica,journal,"15882578, 02366495","0,512",Q2,24,15,71,592,83,71,"0,83","39,47",Hungary,Eastern Europe,Akademiai Kiado,"1986-1989, 2001-2004, 2007-2022","Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)",Agricultural and Biological Sciences,https://akjournals.com/view/journals/034/034-overview.xml,home,False
